date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:21:00	1215/1215	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Apr%202021%2007:00:59%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/dresser-drawers-2.svg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/dresser-drawers-2.svg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:21:00	3989/3989	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2008%20Jun%202021%2003:08:58%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/breakfast-cereal.svg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/06/breakfast-cereal.svg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:21:01	866/866	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Apr%202021%2007:01:01%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/modern-tv-flat.svg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/modern-tv-flat.svg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:21:02	1461/1461	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Apr%202021%2007:00:55%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/bathroom-hair-dryer.svg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/bathroom-hair-dryer.svg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:21:04	2374/2374	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Apr%202021%2007:01:00%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/laundry-iron.svg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/laundry-iron.svg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:21:04	1980/1980	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Apr%202021%2007:01:03%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/tea-kettle-1.svg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/tea-kettle-1.svg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:21:06	1794/1794	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Apr%202021%2007:01:02%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/saving-safe-1.svg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/saving-safe-1.svg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:21:07	2412/2412	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Apr%202021%2007:00:56%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/bathroom-tub-towel.svg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/bathroom-tub-towel.svg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:21:07	1773/1773	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Apr%202021%2007:00:53%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/answer-machine.svg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/answer-machine.svg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:21:09	1617/1617	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Apr%202021%2007:00:56%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/bathroom-hanger-1.svg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/bathroom-hanger-1.svg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:21:10	3516/3516	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Apr%202021%2007:01:05%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/wifi-check.svg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/wifi-check.svg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:21:11	17564/17564	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Aug%202021%2010:03:23%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/airport-pickup.jpeg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/airport-pickup.jpg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
12:21:11	1637/1637	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2028%20Apr%202021%2007:01:02%20GMT	https://nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/office-chair-table.svg	/home/isha/Desktop/hostel/hostel/nuss.uxper.co/boutique-hotel/wp-content/uploads/sites/2/2021/04/office-chair-table.svg	(from https://nuss.uxper.co/boutique-hotel/ux_room/family-suite/)
